filename,elapsed time,result,cpu time,parse time,solve time,solve time det,optimization time,top-down time,top-down time det,bottom-up solve time,bottom-up solve time det,conflict analysis time,learned minimize time,propagation time,constraint cleanup time,inprocessing time,garbage collection time,constraint learning time,time spent in activity heuristic,at-most-one detection time,at-most-one detection time det,time spent in lift degree optimization,number of lifted degrees,LP solve time,LP total time,LP total time det,cores,solutions,propagations,decisions,conflicts,restarts,inprocessing phases,original variables,auxiliary variables,input clauses,input cardinalities,input general constraints,input length average,input degree average,input strength average,learned clauses,learned cardinalities,learned general constraints,learned length average,learned degree average,learned strength average,learned LBD average,unit literals derived,pure literals,constraints satisfied at root,constraints simplified during database reduction,small coef constraints,large coef constraints,arbitrary coef constraints,probing calls,probing inprocessing time,unit lits due to probing,equalities due to probing,implications added due to probing,max implications in memory due to probing,detected at-most-ones,units derived during at-most-one detection,resolve steps,self-subsumptions,gcd simplifications,detected cardinalities,weakened non-implied,weakened non-implying,number of multiply-weakens on reason,number of multiply-weakens on conflict,number of direct multiply-weakens,number of indirect multiply-weakens,clausal propagations,cardinality propagations,watched propagations,counting propagations,watch lookups,watch backjump lookups,watch checks,propagation checks,blocking literal success,blocking literal fails,literal additions,saturation steps,unknown literals rounded up,trail pops,formula constraints,dominance breaking constraints,learned constraints,bound constraints,core-guided constraints,reduced constraints,encountered formula constraints,encountered dominance breaking constraints,encountered learned constraints,encountered bound constraints,encountered core-guided constraints,encountered reduced constraints,encountered detected at-most-ones,encountered detected equalities,encountered detected implications,CG unit cores,CG non-clausal cores,best upper bound,best lower bound,LP relaxation objective,LP constraints added,LP constraints removed,LP pivots,LP approximate operations,LP literal additions,LP calls,LP optimalities,LP no pivot count,LP infeasibilities,LP Farkas constraints,LP dual constraints,LP basis resets,LP cycling count,LP singular count,LP no primal count,LP no dual count,LP no farkas count,LP other issue count,LP Gomory cuts,LP learned cuts,LP deleted cuts,LP encountered Gomory constraints,LP encountered Farkas constraints,LP encountered dual constraints
normalized-ECgrid5x90split.cnf-extracted.pb.metafix.opb.xz,87.10291385650635,UNSATISFIABLE,87.0576,0.0146922,87.0428,117.622,0.159235,86.8836,117.592,0.0,0.0,19.8255,1.2293,56.7149,1.95924,0.721444,0.409865,7.09105,3.79692,0.693599,1.04021,0.0,0.0,3.62,4.76796,11.7642,0.0,0.0,27664628.0,9435982.0,3332336.0,5978.0,368.0,901.0,0.0,5.0,1261.0,0.0,3.9921,1.99605,0.5,3325430.0,13868.0,192945.0,15.6907,3352890.0,0.0815953,9.96223,16.0,0.0,9728.0,3313.0,192945.0,0.0,0.0,678972.0,0.117394,1.0,1.0,0.0,17.0,0.0,0.0,17253303.0,3175797.0,13122.0,4402.0,1002749.0,0.0,21626.0,2186.0,1804.0,284.0,7217006.0,9725750.0,7168427.0,0.0,823370426.0,22215952.0,2230488345.0,224462273.0,22763947.0,10686300.0,356079273.0,257850317.0,0.0,40432933.0,1266.0,0.0,3335639.0,0.0,0.0,192610.0,813470.0,0.0,16430297.0,0.0,0.0,9228.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,450.5,1258.0,0.0,103430.0,520046040.0,6964376.0,3945.0,3908.0,44.0,37.0,37.0,3865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,2.0
normalized-rand6reg-v101-n1.opb.xz,0.1365790367126464,UNSATISFIABLE,0.0722842,0.000764236,0.0714738,0.0752981,0.0714738,0.0,0.0703675,0.0,0.0,0.0311658,1.7579e-05,0.0232068,0.0,0.0013531,0.0,0.014308,0.00239748,0.00114659,0.00237402,0.0,0.0,0.0,0.0156845,0.00755032,0.0,0.0,15528.0,1726.0,324.0,2.0,0.0,303.0,0.0,101.0,101.0,0.0,6.0,3.0,0.5,68.0,137.0,249.0,135.335,1213080000.0,0.304169,41.2907,0.0,0.0,0.0,0.0,249.0,0.0,0.0,1051.0,2.8482e-05,0.0,0.0,0.0,1004.0,123.0,0.0,3462.0,11.0,28.0,0.0,6481.0,0.0,15.0,11.0,23.0,0.0,2074.0,12283.0,639.0,0.0,95018.0,4494.0,1795515.0,491833.0,315.0,194.0,133518.0,273591.0,0.0,17578.0,202.0,0.0,323.0,0.0,0.0,0.0,2739.0,0.0,699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.5,202.0,0.0,383.0,464196.0,3924.0,8.0,7.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0
normalized-t2001.13queen13.1110971097.opb.xz,0.76468825340271,OPTIMUM FOUND,0.720535,0.00282905,0.717602,0.82863,0.0110283,0.706574,0.822758,0.0,0.0,0.11577,0.000120782,0.48364,0.00343155,0.0955141,0.0,0.105199,0.0108192,0.0947294,0.0824051,0.0,0.0,0.05,0.0884775,0.0830826,0.0,1.0,174912.0,7213.0,2902.0,14.0,1.0,169.0,0.0,30.0,70.0,1.0,11.9307,16.8515,0.655887,573.0,150.0,2691.0,45.4848,4500750000.0,0.453238,10.7976,4.0,0.0,0.0,285.0,2692.0,0.0,0.0,1440.0,0.00133168,0.0,0.0,5.0,3046.0,136.0,0.0,20493.0,4849.0,377.0,7.0,218857.0,0.0,447.0,782.0,1162.0,1.0,6706.0,105171.0,54775.0,0.0,3238995.0,358033.0,31922271.0,4595294.0,58730.0,40796.0,651914.0,1501298.0,0.0,185023.0,101.0,0.0,3186.0,0.0,0.0,0.0,13623.0,0.0,4683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,101.0,0.0,3144.0,3788520.0,48700.0,86.0,8.0,2.0,78.0,79.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2187.0,0.0
normalized-sha1-size80-round21-3.opb.xz,104.13254714012146,OPTIMUM FOUND,104.111,0.0697938,104.041,150.648,0.0764229,103.965,150.422,0.0,0.0,26.583,0.295004,63.0231,1.55157,0.858141,0.151719,12.4094,2.14521,0.838213,0.869452,0.0,0.0,5.33,5.54456,15.0648,0.0,1.0,37942596.0,1614453.0,274404.0,637.0,38.0,3968.0,0.0,6979.0,0.0,2065.0,4.51382,2.02134,0.369248,267947.0,9.0,192788.0,118.602,7456000.0,0.104312,34.1199,582.0,0.0,690.0,2659.0,194853.0,0.0,0.0,412286.0,0.0065504,0.0,163.0,66.0,2112.0,6.0,2.0,7699465.0,374666.0,63406.0,2.0,7103309.0,0.0,146232.0,26286.0,53622.0,821.0,10053341.0,9638.0,27579998.0,0.0,610650503.0,406669427.0,4505164035.0,1650553974.0,25766738.0,21628111.0,108917800.0,281435252.0,0.0,39830873.0,8961.0,83.0,276013.0,0.0,0.0,182960.0,5639940.0,407.0,2052009.0,0.0,0.0,2752.0,97.0,14.0,4240.0,0.0,0.0,0.0,0.0,552.747,7512.0,0.0,76919.0,2718240541.0,330756.0,59.0,55.0,0.0,1.0,1.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
normalized-ECgrid5x70split.opb.xz,30.09159541130066,UNSATISFIABLE,30.0737,0.00666007,30.067,33.4219,0.0826351,29.9843,33.4108,0.0,0.0,5.45165,0.250291,21.5082,0.55354,0.184469,0.0916581,2.25614,0.899275,0.178218,0.231383,0.0,0.0,0.92,1.47437,3.34352,0.0,0.0,7587017.0,2189817.0,633373.0,1340.0,81.0,701.0,0.0,4.0,704.0,0.0,3.9887,1.99435,0.5,629644.0,6028.0,99123.0,17.1245,4319780.0,0.094289,10.7978,22.0,0.0,8072.0,1315.0,99123.0,0.0,0.0,118087.0,0.0316621,3.0,2.0,1.0,17.0,0.0,0.0,3398793.0,603528.0,3344.0,1851.0,635261.0,0.0,10248.0,519.0,289.0,17.0,1146703.0,3247060.0,2450388.0,0.0,271683822.0,11140523.0,858696401.0,103694011.0,12713689.0,8192428.0,60514912.0,56030293.0,0.0,10410189.0,708.0,0.0,634676.0,0.0,0.0,98517.0,471581.0,0.0,2924098.0,0.0,0.0,2977.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,350.5,702.0,0.0,34204.0,95908016.0,2196500.0,1594.0,1582.0,16.0,12.0,14.0,1567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,2.0
normalized-dbst_v40_e600_d20_mw10_9.opb.PB06.opb.xz,21.101412057876587,OPTIMUM FOUND,21.0263,3.13689,17.8893,35.263,17.8739,0.0153928,0.0166569,0.0,0.0,0.00329509,0.00016055,0.142736,0.0,0.118414,0.0,0.00354372,0.00221574,0.109542,0.123783,0.0,0.0,16.76,34.6505,34.0096,0.0,1.0,143936.0,6440.0,132.0,1.0,0.0,2800.0,0.0,986840.0,82.0,3160.0,3.18915,1.44158,0.333573,120.0,47.0,7.0,107.914,13.9828,0.254898,46.6609,0.0,0.0,0.0,0.0,3167.0,0.0,0.0,1987.0,0.000134643,0.0,0.0,0.0,3462.0,42.0,0.0,1344.0,224.0,7.0,0.0,2624.0,0.0,1.0,3.0,1.0,0.0,5830.0,137488.0,475.0,0.0,1745703.0,4789.0,2257161.0,230914.0,8687.0,172.0,74117.0,6372780.0,0.0,150508.0,990082.0,0.0,132.0,0.0,0.0,0.0,1191.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,990082.0,0.0,2000.0,6315040000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normalized-pigeon-cardinality-85-80.opb.xz,0.4607565402984619,UNSATISFIABLE,0.405225,0.025531,0.379581,0.423178,0.379581,0.0,0.0,0.0,0.0,0.0,0.0,0.0285578,0.0,0.308278,0.0,0.000216018,0.0024503,0.0316391,0.100078,0.0,0.0,0.06,0.0,0.128979,0.0,0.0,414672.0,2582.0,0.0,0.0,0.0,6800.0,0.0,268685.0,80.0,0.0,2.04937,1.02471,0.499991,0.0,31.0,0.0,81.0968,80.0968,0.987635,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2582.0,0.0,0.0,0.0,0.0,5053.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200976.0,213696.0,0.0,0.0,214363.0,0.0,115934.0,436153.0,0.0,0.0,13600.0,1106628.0,0.0,417254.0,165.0,268600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,165.0,0.0,1522.0,20699200.0,13600.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normalized-subsetcard-eq-random4regular-75.opb.xz,0.0436542034149169,UNSATISFIABLE,0.00408352,0.000979312,0.00305701,0.00331371,0.00305701,0.0,0.0,0.0,0.0,0.0,0.0,7.0531e-05,0.0,0.000266223,0.0,0.0,2.6632e-05,0.000193213,0.000188701,0.0,0.0,0.0,0.0,0.0027006,0.0,0.0,0.0,602.0,0.0,0.0,0.0,301.0,0.0,0.0,300.0,0.0,4.01333,2.00667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121.0,0.0,1421.0,0.0,0.0,0.0,602.0,2408.0,0.0,602.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,300.0,0.0,297.0,357588.0,602.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normalized-robin12.opb.xz,43.68597269058228,OPTIMUM FOUND,43.5906,0.0583875,43.5321,35.9628,0.415936,43.1161,35.3782,0.0,0.0,4.48984,0.00685771,15.1073,1.94582,1.86544,0.037697,22.9608,0.969943,1.81553,2.94592,0.0,0.0,1.87,2.25053,3.79732,0.0,1.0,10449619.0,171626.0,21716.0,77.0,4.0,4356.0,0.0,264.0,336.0,0.0,72.6,43.32,0.558017,12975.0,2385.0,16728.0,579.709,37312100.0,0.176226,52.2882,0.0,0.0,0.0,73.0,16728.0,0.0,0.0,41378.0,0.0123311,0.0,0.0,0.0,157454.0,740.0,0.0,246893.0,516364.0,53.0,0.0,10065220.0,0.0,841.0,63.0,272.0,0.0,53145.0,9789924.0,514291.0,0.0,54235331.0,4223045.0,1998626385.0,569014060.0,37659.0,45576.0,42671898.0,74743584.0,0.0,10642961.0,600.0,0.0,21789.0,0.0,0.0,9556.0,116142.0,0.0,130745.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,600.0,0.0,15985.0,696306600.0,36795.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
normalized-j6042_1-sat.opb.xz,0.9663488864898682,OPTIMUM FOUND,0.903908,0.17246,0.731389,0.237685,0.729941,0.00144761,0.000570917,0.0,0.0,0.00155254,0.0,0.109151,0.0,0.154566,0.0,0.000276752,0.00191998,0.150058,0.100029,0.0,0.0,0.18,1.09338,0.11302,0.0,1.0,376791.0,3050.0,1.0,0.0,0.0,10248.0,0.0,20564.0,1.0,231.0,1.84492,1.48168,0.642627,59.0,41.0,1.0,2.51485,1.69307,0.675207,1.90099,8640.0,0.0,15540.0,0.0,232.0,0.0,0.0,2970.0,0.00013368,0.0,116.0,39.0,10372.0,41.0,61.0,996.0,0.0,13.0,1.0,740.0,0.0,19.0,1.0,6.0,0.0,341678.0,6412.0,22535.0,0.0,389195.0,13982.0,216996.0,418775.0,0.0,0.0,3043.0,139941.0,0.0,371222.0,19317.0,1479.0,21.0,0.0,0.0,0.0,990.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,3835.0,0.0,2000.0,20986000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normalized-t3002.11tsp11.1900553606.opb.xz,1.1367878913879397,OPTIMUM FOUND,1.11022,0.00545343,1.10471,1.01221,0.00615793,1.09855,1.00243,0.0,0.0,0.289557,0.0172344,0.646285,0.00453841,0.0211589,0.000693402,0.155913,0.0471134,0.0210088,0.00822621,0.0,0.0,0.04,0.11741,0.10279,0.0,1.0,384796.0,12146.0,5982.0,29.0,1.0,231.0,0.0,2684.0,22.0,1.0,3.08016,1.29922,0.351173,4823.0,104.0,2322.0,34.5061,26959200.0,0.16104,10.0636,0.0,0.0,0.0,1196.0,2323.0,0.0,0.0,1334.0,0.000511955,0.0,0.0,0.0,878.0,50.0,0.0,58156.0,15727.0,2087.0,0.0,447616.0,0.0,801.0,356.0,705.0,19.0,163151.0,60844.0,143774.0,0.0,2662809.0,116284.0,27352059.0,3814336.0,183240.0,36180.0,976433.0,1705088.0,0.0,402924.0,2707.0,0.0,7178.0,0.0,0.0,0.0,45925.0,0.0,12082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2707.0,0.0,2114.0,17626532.0,6109.0,21.0,5.0,0.0,16.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,9.0
normalized-hw256-vm100p-dec.opb.negationfix.opb.xz,7200.0,UNKNOWN,42.3613,3.03313,39.3281,23.5555,39.3281,0.0,0.0,0.0,0.0,0.0,0.0,0.677159,0.0,0.0,0.0,0.0,0.227377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1827.0,0.0,0.0,0.0,0.0,693504.0,0.0,32031092.0,2709.0,512.0,2.08593,19.4789,0.500008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1827.0,0.0,1.0,0.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133646768.0,0.0,0.0,5929.0,32028384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normalized-grid6_67.shuf-3.opb.xz,1.1424336433410645,UNSATISFIABLE,1.11339,0.00112199,1.11222,0.785549,0.731809,0.38041,0.779005,0.0,0.0,0.194742,2.7101e-05,0.818204,0.0177222,0.0328031,0.0,0.0724158,0.0127908,0.0325459,0.0294726,0.0,0.0,0.02,0.0595528,0.0790163,0.0,0.0,216636.0,10861.0,4450.0,21.0,1.0,402.0,0.0,402.0,1.0,0.0,2.99256,1.49628,0.5,343.0,786.0,3396.0,78.5859,267.291,0.342015,26.4811,41.0,0.0,0.0,6.0,3396.0,0.0,0.0,3252.0,0.00089762,2.0,0.0,0.0,402.0,0.0,0.0,28410.0,56.0,146.0,81.0,99146.0,0.0,99.0,31.0,46.0,0.0,77948.0,34740.0,52976.0,0.0,5774542.0,120299.0,21157802.0,2653129.0,15960.0,4139.0,746688.0,1235272.0,0.0,231909.0,403.0,0.0,4458.0,0.0,0.0,0.0,14283.0,0.0,11133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,201.0,403.0,0.0,1450.0,1748700.0,54076.0,67.0,1.0,0.0,66.0,66.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2993.0,1.0
normalized-ECgrid5x80split.cnf-extracted.pb.metafix.opb.xz,72.35458970069885,UNSATISFIABLE,72.3089,0.00385768,72.305,42.6644,0.264322,72.0407,42.6427,0.0,0.0,13.867,0.909626,50.4949,1.36241,0.484285,0.213452,5.54286,2.43261,0.443602,0.326581,0.0,0.0,1.13,3.72387,4.26765,0.0,0.0,10446183.0,3323181.0,906901.0,1978.0,112.0,801.0,0.0,2.0,1118.0,0.0,3.99643,1.99821,0.5,902238.0,6625.0,126844.0,16.5435,1206230.0,0.0944215,10.4309,19.0,0.0,0.0,1261.0,126844.0,0.0,0.0,185539.0,0.112126,2.0,3.0,1.0,25.0,0.0,0.0,4585430.0,795845.0,10390.0,2177.0,647132.0,0.0,15914.0,1155.0,753.0,59.0,1757799.0,4152711.0,3462031.0,0.0,331615292.0,12270178.0,1021364843.0,139183866.0,10352916.0,5311991.0,88447755.0,77080786.0,0.0,14676249.0,1120.0,0.0,908159.0,0.0,0.0,125925.0,326564.0,0.0,4255274.0,0.0,0.0,3089.0,0.0,100.0,201.0,0.0,0.0,1.0,1.0,400.5,1118.0,0.0,41790.0,186717720.0,2534532.0,1611.0,1602.0,20.0,9.0,9.0,1583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,2.0
normalized-subsetcard-geq-random4reg-50.shuf-1.opb.xz,0.100175142288208,UNSATISFIABLE,0.00199333,0.000598397,0.00135933,0.00104604,0.00135933,0.0,0.0,0.0,0.0,0.0,0.0,3.0992e-05,0.0,0.000160839,0.0,0.0,1.5272e-05,0.000106432,0.000105495,0.0,0.0,0.0,0.0,0.000798842,0.0,0.0,0.0,402.0,0.0,0.0,0.0,201.0,0.0,0.0,100.0,0.0,4.02,2.02,0.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0,0.0,477.0,0.0,0.0,0.0,402.0,804.0,0.0,402.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,100.0,0.0,130.0,52260.0,402.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normalized-15array_ineq10.opb.xz,22.279821395874023,UNSATISFIABLE,22.249,0.00685413,22.2421,14.4403,0.865802,21.3763,14.3078,0.0,0.0,3.39079,0.0108255,17.2811,0.179527,1.32652,0.00401337,1.1028,0.110351,1.30878,1.40361,0.0,0.0,1.47,3.14816,1.46041,0.0,0.0,3400605.0,26626.0,12341.0,52.0,3.0,1657.0,0.0,1602.0,5.0,1401.0,3.30951,892407.0,0.521027,14063.0,32.0,11643.0,61.7706,298596000.0,0.222686,7.28666,967.0,0.0,443.0,10066.0,13043.0,1.0,0.0,8914.0,0.0680054,119.0,351.0,524.0,21493.0,19.0,84.0,659967.0,106777.0,1631.0,12.0,627686.0,0.0,11071.0,984.0,4010.0,542.0,1669477.0,11257.0,1704444.0,0.0,94680470.0,58675066.0,381715760.0,342471948.0,1297148.0,1641507.0,4606365.0,11214213.0,0.0,3438639.0,2974.0,34.0,20979.0,0.0,0.0,3448.0,514170.0,28.0,78562.0,0.0,0.0,0.0,29.0,24929.0,39606.0,0.0,0.0,1.0,1.0,18.0019,1929.0,0.0,37429.0,244037080.0,113555.0,65.0,15.0,2.0,43.0,90.0,15.0,8.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2615.0,28.0
normalized-ECgrid3x10split.cnf-extracted.pb.metafix.opb.xz,0.2608506679534912,UNSATISFIABLE,0.244449,0.00118728,0.243159,0.162532,0.0284329,0.214726,0.16208,0.0,0.0,0.0425263,0.000394996,0.177966,0.00105486,0.00144327,0.0,0.0192955,0.00447014,0.00134388,0.00136235,0.0,0.0,0.03,0.0215906,0.0163232,0.0,0.0,29262.0,2852.0,2184.0,13.0,1.0,61.0,0.0,2.0,82.0,0.0,3.95238,1.97619,0.5,1258.0,248.0,892.0,17.0234,31.6255,0.229078,7.28524,34.0,0.0,0.0,110.0,892.0,0.0,0.0,308.0,0.000406138,0.0,2.0,5.0,32.0,0.0,0.0,15843.0,475.0,233.0,118.0,14957.0,0.0,69.0,15.0,23.0,0.0,1920.0,15698.0,9102.0,0.0,1292872.0,95047.0,5343800.0,1160358.0,22878.0,16916.0,143662.0,218370.0,0.0,34266.0,84.0,0.0,2206.0,0.0,0.0,0.0,7004.0,0.0,8836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.5,82.0,0.0,356.0,115344.0,12200.0,142.0,142.0,42.0,0.0,0.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
normalized-neos808444.opb.xz,0.4308433532714844,OPTIMUM FOUND,0.400444,0.175266,0.22508,1.7519,0.16893,0.0561499,0.0752368,0.0,0.0,0.00986878,0.000199429,0.0414529,0.0,0.0535383,0.0,0.0102617,0.0129323,0.0315427,0.100048,0.0,0.0,0.09,0.203274,1.51896,0.0,1.0,556538.0,34362.0,442.0,3.0,0.0,19846.0,0.0,25186.0,3230.0,2093.0,5.36474,3.08968,0.410154,260.0,51.0,267.0,55.3581,1847.75,0.293159,24.6713,2.0,0.0,2.0,0.0,2360.0,0.0,0.0,1920.0,0.000345943,0.0,0.0,85.0,11029.0,51.0,0.0,4023.0,64.0,101.0,0.0,12505.0,0.0,136.0,29.0,108.0,8.0,39912.0,107973.0,407313.0,0.0,184543.0,44672.0,1434718.0,908940.0,93754.0,18837.0,85322.0,471321.0,0.0,591340.0,19185.0,11324.0,442.0,0.0,0.0,0.0,3628.0,0.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,19183.0,0.0,2000.0,282046000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normalized-ECgrid3x20split.cnf-plain.pb.metafix.opb.xz,0.3980166912078857,UNSATISFIABLE,0.369272,0.0011276,0.368096,0.233969,0.142579,0.225517,0.231619,0.0,0.0,0.0744974,0.00280392,0.271037,0.00195926,0.0174243,0.0,0.0144358,0.0181846,0.0172882,0.00184413,0.0,0.0,0.02,0.0424037,0.0234786,0.0,0.0,105707.0,15378.0,9923.0,43.0,2.0,121.0,0.0,488.0,0.0,0.0,2.9959,1.0,0.334015,10107.0,2.0,29.0,9.43736,21966700.0,0.125284,5.40718,26.0,0.0,0.0,176.0,29.0,0.0,0.0,833.0,0.000270854,0.0,2.0,0.0,12.0,0.0,0.0,78442.0,6648.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95781.0,0.0,0.0,0.0,1723861.0,0.0,3109070.0,95781.0,0.0,0.0,627430.0,478269.0,0.0,130984.0,488.0,0.0,10089.0,0.0,0.0,16.0,33468.0,0.0,44974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,40.6667,482.0,0.0,2087.0,3013628.0,5632.0,28.0,28.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normalized-ECgrid3x80split.cnf-plain.pb.metafix.opb.xz,1.631561517715454,UNSATISFIABLE,1.59708,0.00389836,1.59313,0.70935,0.317314,1.27582,0.68549,0.0,0.0,0.517049,0.0330293,0.772762,0.0140239,0.0307338,0.00300506,0.163643,0.127706,0.0300893,0.00929255,0.0,0.0,0.04,0.134456,0.0722239,0.0,0.0,401122.0,79949.0,36560.0,125.0,6.0,481.0,0.0,1928.0,0.0,0.0,2.99896,1.0,0.333505,36569.0,2.0,4.0,8.7159,3264320.0,0.127317,5.10707,21.0,0.0,0.0,9.0,4.0,0.0,0.0,7036.0,0.000625646,3.0,1.0,0.0,3.0,0.0,0.0,275286.0,20034.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364556.0,0.0,0.0,0.0,4237724.0,0.0,7425839.0,364556.0,0.0,0.0,2186641.0,1625536.0,0.0,517613.0,1928.0,0.0,36562.0,0.0,0.0,3.0,113869.0,0.0,161417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,160.667,1922.0,0.0,2146.0,12369544.0,4357.0,5.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
